Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Affectation des fonds (actifs),,,,1,,Asset,
Sources de fonds (passif),,,,1,,Liability,
Équité,,,,1,,Equity,
Comptes de charges,,,,1,,Expense,
Revenu,,,,1,,Income,
Comptes de capitaux,,Classe 1,,1,,Asset,
CAPITAL,Comptes de capitaux,10,Classe 1,1,,Asset,
Capital social,CAPITAL,101,10,1,,Asset,
"Capital souscrit, non appelé",Capital social,10110000,101,0,,Asset,
"Capital souscrit, appelé, non versé",Capital social,10120000,101,0,,Asset,
"Capital souscrit, appelé, versé, non amorti",Capital social,10130000,101,0,,Asset,
"Capital souscrit, appelé, versé, amorti",Capital social,10140000,101,0,,Asset,
Capital souscrit soumis à des conditions particulières,Capital social,10180000,101,0,,Asset,
Capital par dotation,CAPITAL,102,10,1,,Asset,
Dotation initiale,Capital par dotation,10210000,102,0,,Asset,
Dotations complémentaires,Capital par dotation,10220000,102,0,,Asset,
Autres dotations,Capital par dotation,10280000,102,0,,Asset,
Capital personnel,CAPITAL,10300000,10,0,,Asset,
Compte de l’exploitant,CAPITAL,104,10,1,,Asset,
Apports temporaires,Compte de l’exploitant,10410000,104,0,,Asset,
Opérations courantes,Compte de l’exploitant,10420000,104,0,,Asset,
"Rémunérations, impôts et autres charges personnelles",Compte de l’exploitant,10430000,104,0,,Asset,
Prélèvements d’autoconsom-mation,Compte de l’exploitant,10470000,104,0,,Asset,
Autres prélèvements,Compte de l’exploitant,10480000,104,0,,Asset,
Primes liées aux capitaux propres,CAPITAL,105,10,1,,Asset,
Primes d’émission,Primes liées aux capitaux propres,10510000,105,0,,Asset,
Primes d’apport,Primes liées aux capitaux propres,10520000,105,0,,Asset,
Primes de fusion,Primes liées aux capitaux propres,10530000,105,0,,Asset,
Primes de conversion,Primes liées aux capitaux propres,10540000,105,0,,Asset,
Autres primes,Primes liées aux capitaux propres,10580000,105,0,,Asset,
Écarts de réévaluation,CAPITAL,106,10,1,,Asset,
Écarts de réévaluation légale,Écarts de réévaluation,10610000,106,0,,Asset,
Écarts de réévaluation libre,Écarts de réévaluation,10620000,106,0,,Asset,
"Actionnaires, capital souscrit, non appelé"",",CAPITAL,10900000,10,0,,Asset,
Réserves,Comptes de capitaux,11,Classe 1,1,,Asset,
Réserve légale,Réserves,11100000,11,0,,Asset,
Réserves statutaires ou contractuelles,Réserves,11200000,11,0,,Asset,
Réserves réglementées,Réserves,113,11,1,,Asset,
Réserves de plus-values nettes à long terme,Réserves réglementées,11310000,113,0,,Asset,
Réserves consécutives à l’oc-troi de subventions d’investisse-ment,Réserves réglementées,11330000,113,0,,Asset,
Autres réserves réglementées,Réserves réglementées,11380000,113,0,,Asset,
Autres réserves,Réserves,118,11,1,,Asset,
Réserves facultatives,Autres réserves,11810000,118,0,,Asset,
Réserves diverses,Autres réserves,11880000,118,0,,Asset,
Report à nouveau,Comptes de capitaux,12,Classe 1,1,,Asset,
Report à nouveau,Comptes de capitaux,12000,Classe 1,0,,Asset,
Report à nouveau créditeur,Report à nouveau,12100000,12,0,,Asset,
Report à nouveau débiteur,Report à nouveau,129,12,1,,Asset,
Perte nette à reporter,Report à nouveau débiteur,12910000,129,0,,Asset,
Perte - Amortissements réputés différés,Report à nouveau débiteur,12920000,129,0,,Asset,
Résultat net de l’exercice,Comptes de capitaux,13,Classe 1,1,,Asset,
Résultat en instance d’affectation,Résultat net de l’exercice,130,13,1,,Asset,
Résultat en instance d’affectation,Résultat net de l’exercice,13000,13,0,,Asset,
Résultat en instance d’affec-tation : bénéfice,Résultat en instance d’affectation,13010000,130,0,,Asset,
Résultat en instance d’affec-tation : perte,Résultat en instance d’affectation,13090000,130,0,,Asset,
Résultat net : bénéfice,Résultat net de l’exercice,13100000,13,0,,Asset,
Marge brute (MB),Résultat net de l’exercice,132,13,1,,Asset,
Marge brute sur marchandises,Marge brute (MB),13210000,132,0,,Asset,
Marge brute sur matières,Marge brute (MB),13220000,132,0,,Asset,
Valeur ajoutée (VA),Résultat net de l’exercice,13300000,13,0,,Asset,
Excédent brut d’exploitation (EBE),Résultat net de l’exercice,13400000,13,0,,Asset,
Résultat d’exploitation (RE),Résultat net de l’exercice,13500000,13,0,,Asset,
Résultat financier (RF),Résultat net de l’exercice,13600000,13,0,,Asset,
Résultat des activités ordinaires (RAO),Résultat net de l’exercice,13700000,13,0,,Asset,
Résultat hors activités ordinaires (RHAO),Résultat net de l’exercice,13800000,13,0,,Asset,
Résultat net : perte,Résultat net de l’exercice,13900000,13,0,,Asset,
Subventions d’investissement,Comptes de capitaux,14,Classe 1,1,,Asset,
Subventions d’équipement A,Subventions d’investissement,141,14,1,,Asset,
État,Subventions d’équipement A,14110000,141,0,,Asset,
Régions,Subventions d’équipement A,14120000,141,0,,Asset,
Départements,Subventions d’équipement A,14130000,141,0,,Asset,
Communes et collectivités publiques décentralisées,Subventions d’équipement A,14140000,141,0,,Asset,
Entreprises publiques ou mixtes,Subventions d’équipement A,14150000,141,0,,Asset,
Entreprises et organismes privés,Subventions d’équipement A,14160000,141,0,,Asset,
Organismes internationaux,Subventions d’équipement A,14170000,141,0,,Asset,
Autres,Subventions d’équipement A,14180000,141,0,,Asset,
Subventions d’équipement B,Subventions d’investissement,14200000,14,0,,Asset,
Autres subventions d’investisse-ment,Subventions d’investissement,14800000,14,0,,Asset,
Provisions réglementées et fonds assimilés,Comptes de capitaux,15,Classe 1,1,,Asset,
Amortissements dérogatoires,Provisions réglementées et fonds assimilés,15100000,15,0,,Asset,
Plus-values de cession à réinvestir,Provisions réglementées et fonds assimilés,15200000,15,0,,Asset,
Fonds réglementés,Provisions réglementées et fonds assimilés,153,15,1,,Asset,
Fonds National,Fonds réglementés,15310000,153,0,,Asset,
Prélèvement pour le Budget,Fonds réglementés,15320000,153,0,,Asset,
Provision spéciale de réévaluation,Provisions réglementées et fonds assimilés,15400000,15,0,,Asset,
Provisions réglementées relatives aux immobilisations,Provisions réglementées et fonds assimilés,155,15,1,,Asset,
Reconstitution des gisements miniers et pétroliers,Provisions réglementées relatives aux immobilisations,15510000,155,0,,Asset,
Provisions réglementées relatives aux stocks,Provisions réglementées et fonds assimilés,156,15,1,,Asset,
Hausse de prix,Provisions réglementées relatives aux stocks,15610000,156,0,,Asset,
Fluctuation des cours,Provisions réglementées relatives aux stocks,15620000,156,0,,Asset,
Provisions pour investissement,Provisions réglementées et fonds assimilés,15700000,15,0,,Asset,
Autres provisions et fonds réglementes,Provisions réglementées et fonds assimilés,15800000,15,0,,Asset,
Emprunts et dettes assimilées,Comptes de capitaux,16,Classe 1,1,,Asset,
Emprunts obligataires,Emprunts et dettes assimilées,161,16,1,,Asset,
Emprunts obligataires ordinaires,Emprunts obligataires,16110000,161,0,,Asset,
Emprunts obligataires con-vertibles,Emprunts obligataires,16120000,161,0,,Asset,
Autres emprunts obligataires,Emprunts obligataires,16180000,161,0,,Asset,
Emprunts et dettes auprès des établissements de crédit,Emprunts et dettes assimilées,16200000,16,0,,Asset,
Avances reçues de l’état,Emprunts et dettes assimilées,16300000,16,0,,Asset,
Avances reçues et comptes courants bloqués,Emprunts et dettes assimilées,16400000,16,0,,Asset,
Dépôts et cautionnements reçus,Emprunts et dettes assimilées,165,16,1,,Asset,
Dépôts,Dépôts et cautionnements reçus,16510000,165,0,,Asset,
Cautionnements,Dépôts et cautionnements reçus,16520000,165,0,,Asset,
Intérêts courus,Emprunts et dettes assimilées,166,16,1,,Asset,
sur emprunts obligataires,Intérêts courus,16610000,166,0,,Asset,
sur emprunts et dettes auprès des établissements de crédit,Intérêts courus,16620000,166,0,,Asset,
sur avances reçues de l’État,Intérêts courus,16630000,166,0,,Asset,
sur avances reçues et comptes courants bloqués,Intérêts courus,16640000,166,0,,Asset,
sur dépôts et cautionnements reçus,Intérêts courus,16650000,166,0,,Asset,
sur avances assorties de conditions particulières,Intérêts courus,16670000,166,0,,Asset,
sur autres emprunts et dettes,Intérêts courus,16680000,166,0,,Asset,
Avances assorties de conditions particulières,Emprunts et dettes assimilées,167,16,1,,Asset,
Avances bloquées pour augmentation du capital,Avances assorties de conditions particulières,16710000,167,0,,Asset,
Avances conditionnées par l’État,Avances assorties de conditions particulières,16720000,167,0,,Asset,
Avances conditionnées par les autres organismes africains,Avances assorties de conditions particulières,16730000,167,0,,Asset,
Avances conditionnées par les organismes internationaux,Avances assorties de conditions particulières,16740000,167,0,,Asset,
Droits du concédant exigibles en nature,Avances assorties de conditions particulières,16760000,167,0,,Asset,
Autres emprunts et dettes,Emprunts et dettes assimilées,168,16,1,,Asset,
Rentes viagères capitalisées,Autres emprunts et dettes,16810000,168,0,,Asset,
Billets de fonds,Autres emprunts et dettes,16820000,168,0,,Asset,
Dettes consécutives à des titres empruntés,Autres emprunts et dettes,16830000,168,0,,Asset,
Dettes du concédant exigibles en nature,Autres emprunts et dettes,16840000,168,0,,Asset,
Emprunts participatifs,Autres emprunts et dettes,16850000,168,0,,Asset,
"Participation des travailleurs aux bénéfices"",",Autres emprunts et dettes,16860000,168,0,,Asset,
Dettes de crédit ‐ bail et contrats assimilés,Comptes de capitaux,17,Classe 1,1,,Asset,
Emprunts équivalents de crédit - bail immobilier,Dettes de crédit ‐ bail et contrats assimilés,17200000,17,0,,Asset,
Emprunts équivalents de crédit - bail mobilier,Dettes de crédit ‐ bail et contrats assimilés,17300000,17,0,,Asset,
Intérêts courus,Dettes de crédit ‐ bail et contrats assimilés,176,17,1,,Asset,
sur emprunts équivalents de crédit - bail immobilier,Intérêts courus,17620000,176,0,,Asset,
sur emprunts équivalents de crédit - bail mobilier,Intérêts courus,17630000,176,0,,Asset,
sur emprunts équivalents d’autres contrats,Intérêts courus,17680000,176,0,,Asset,
Emprunts équivalents d’autres contrats,Dettes de crédit ‐ bail et contrats assimilés,17800000,17,0,,Asset,
